docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
MAESTRE GONGORA GINA PAOLA,"Smart university: Strategic map since the adoption of technology,Universidad inteligente: Mapa estrategico desde la adopcion de tecnologia",RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,,,,2020,E28,711-724,"Rico-Bautista, D. and Medina-Cardenas, Y. and Coronel-Rojas, L.A. and Cuesta-Quintero, F. and Barrientos-Avendaño, E. and Leon, R.A.G. and Maestre-Gongora, G.P."
MAESTRE GONGORA GINA PAOLA,Conceptual model of information technology management for smart cities: Smarticity,Journal of Global Information Management,2019,,,,,27,2,159-175,"Maestre-Gongora, G.P. and Bernal, W.N."
MAESTRE GONGORA GINA PAOLA,Plan estrategico basado en ITIL para mipymes en el departamento de Arauca-Colombia,Lampsakos,2019,nov,10.21501/21454086.3280,https://doi.org/10.21501%2F21454086.3280,Universidad Catolica Luis Amigo,,22,68,Carlos Eduardo Puentes Figueroa and Gina Paola Maestre-Gongora
MAESTRE GONGORA GINA PAOLA,A systematic mapping study of micro-grid architectures,Scientia et Technica,2019,sep,10.22517/23447214.21421,https://doi.org/10.22517%2F23447214.21421,Universidad Tecnologica de Pereira - UTP,24,3,366--376,Julian Andres Mera Paz and Ramon Fernando Colmenares Quintero and Gina Paola Maestre Gongora
MAESTRE GONGORA GINA PAOLA,"Information technology management for smart government: A enterprise architecture approach,Gestion de tecnologia de informacion para gobiernos inteligentes: Un enfoque de arquitectura empresarial",Espacios,2017,,,,,38,42,,"Maestre Gongora, G.P. and Nieto Bernal, W.N."
MAESTRE GONGORA GINA PAOLA,Factores Clave en la Gestion de Tecnologia de Informacion para Sistemas de Gobierno Inteligente,Journal of Technology Management & Innovation,2015,dec,10.4067/s0718-27242015000400012,http://dx.doi.org/10.4067/s0718-27242015000400012,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),10,4,109--117,Gina Paola Maestre Gongora and Wilson Nieto Bernal
MERA BANGUERO CARLOS ANDRES,Evaluation of Weakly Supervised Learning Paradigms on Automatic Visual Inspection,IEEE Latin America Transactions,2020,jun,10.1109/tla.2020.9099678,https://doi.org/10.1109%2Ftla.2020.9099678,Institute of Electrical and Electronics Engineers (IEEE),18,06,1017--1025,Jose Arrieta and Carlos Mera and Albeiro Espinosa
MERA BANGUERO CARLOS ANDRES,Automatic visual inspection: An approach with multi-instance learning ,Computers in Industry ,2016,,http://dx.doi.org/10.1016/j.compind.2016.09.002,http://www.sciencedirect.com/science/article/pii/S0166361516301750,,83,,46 - 54,Carlos Mera and Mauricio Orozco-Alzate and John Branch and Domingo Mery
MERA BANGUERO CARLOS ANDRES,A survey on class imbalance learning on automatic visual inspection,IEEE Latin America Transactions,2014,,,,,12,4,657-667,"Mera, C. and Branch, J.W."
MERA BANGUERO CARLOS ANDRES,Using dispersion measures for determining block-size in-motion estimation | Usando medidas de dispersion para determinar el tamaño del bloque en la estimacion de movimiento,DYNA (Colombia),2012,,,,,79,171,97-104,"Mera, C. and Trujillo, M."
MERA BANGUERO CARLOS ANDRES,ViRe-YouTube: Visualizando los resultados de busquedas en YouTube,Avances en Sistemas e Informatica,2009,,,,Escuela de Ingenieria de Sistemas,6,1,135--143,"Mera, Carlos and Theron, Roberto"
MERA BANGUERO CARLOS ANDRES,Usando Diferencias en la Estimacion de Movimiento.,Revista Colombiana de Computacion,2007,,,,,8,2,62--78,"Mera, Carlos and Trujillo, Maria"
