docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
RAMOS POLLAN RAUL,GBRAS-Net: A Convolutional Neural Network Architecture for Spatial Image Steganalysis,IEEE Access,2021,,10.1109/access.2021.3052494,https://doi.org/10.1109%2Faccess.2021.3052494,Institute of Electrical and Electronics Engineers (IEEE),9,,14340--14350,Tabares-Soto Reinel and Arteaga-Arteaga Harold Brayan and Bravo-Ortiz Mario Alejandro and Mora-Rubio Alejandro and Arias-Garzon Daniel and Alzate-Grisales Jesus Alejandro and Burbano-Jacome Alejandro Buenaventura and Orozco-Arias Simon and Isaza Gustavo and Ramos-Pollan Raul
RAMOS POLLAN RAUL,Sensitivity of deep learning applied to spatial image steganalysis,PeerJ Computer Science,2021,aug,10.7717/peerj-cs.616,https://doi.org/10.7717%2Fpeerj-cs.616,PeerJ,7,,e616,Reinel Tabares-Soto and Harold Brayan Arteaga-Arteaga and Alejandro Mora-Rubio and Mario Alejandro Bravo-Ortíz and Daniel Arias-Garzón and Jesús Alejandro Alzate-Grisales and Simon Orozco-Arias and Gustavo Isaza and Raúl Ramos-Pollán
RAMOS POLLAN RAUL,Ensemble-based approach for semisupervised learning in remote sensing,Journal of Applied Remote Sensing,2021,aug,10.1117/1.jrs.15.034509,https://doi.org/10.1117%2F1.jrs.15.034509,SPIE-Intl Soc Optical Eng,15,03,,Miguel Plazas and Raúl Ramos-Pollán and Fabio Martínez
MAESTRE GONGORA GINA PAOLA,A Data-Driven Architecture for Smart Renewable Energy Microgrids in Non-Interconnected Zones: A Colombian Case Study,Energies,2023,,10.3390/en16237900,https://doi.org/10.3390/en16237900,,,,,Ramón Fernando Colmenares-Quintero; Gina Maestre-Gongora; Oscar Camilo Valderrama-Riveros; Marieth Baquero-Almazo; Kim E. Stansfield
MAESTRE GONGORA GINA PAOLA,Dataset about information technology governance: A survey in Colombian enterprises,Data in Brief,2023,,10.1016/j.dib.2023.109480,https://doi.org/10.1016/j.dib.2023.109480,,,,,Gina Maestre-Góngora; Diana Aponte
MAESTRE GONGORA GINA PAOLA,Exploring open government data and big data from a quality perspective.,Revista Colombiana de Computación,2023,,10.29375/25392115.4389,https://doi.org/10.29375/25392115.4389,,,,,Gina Maestre-Gongora; Adriana Rangel-Carrillo; Mariutsi Osorio-Sanabria
MAESTRE GONGORA GINA PAOLA,Information Technology Governance in Colombian Small and Medium Companies: An Exploratory Study Using Data Analysis,"AiBi Revista de Investigación, Administración e Ingeniería",2023,,10.15649/2346030X.3083,https://doi.org/10.15649/2346030X.3083,,,,,Yeni Trujillo-Lambert; Mariutsi Osorio Sanabria; Gina Maestre-Gongora; Hernan Astudillo
MAESTRE GONGORA GINA PAOLA,A Bibliometric Analysis and Benchmark of Machine Learning and AutoML in Crash Severity Prediction: The Case Study of Three Colombian Cities,Sensors,2021,,10.3390/s21248401,https://doi.org/10.3390/s21248401,,,,,Juan S. Angarita-Zapata; Gina Maestre-Gongora; Jenny Fajardo Calderín
MAESTRE GONGORA GINA PAOLA,The value of open data government: a quality assessment approach,"Revista de Investigación, Desarrollo e Innovación",2021,aug,10.19053/20278306.v11.n3.2021.13348,https://doi.org/10.19053%2F20278306.v11.n3.2021.13348,Universidad Pedagogica y Tecnologica de Colombia,11,3,507--518,Gina Maestre-Gongora and Adriana Rangel-Carrillo and Mariutsi Osorio-Sanabria
MAESTRE GONGORA GINA PAOLA,"Principios, lineamientos, dimensiones y atributos para la evaluación de calidad de Datos Abiertos de Gobierno","Aibi revista de investigación, administración e ingeniería",2021,,10.15649/2346030X.950,https://doi.org/10.15649/2346030X.950,,,,,Adriana Milena Rangel-Carrillo; Gina Paola Maestre-Góngora; Mariutsi-Alexandra Osorio-Sanabria
MAESTRE GONGORA GINA PAOLA,Smart University: a vision of technology adoption,Revista Colombiana de Computación,2021,,10.29375/25392115.4153,https://doi.org/10.29375/25392115.4153,,,,,Dewar Rico-Bautista; César D. Guerrero; César A. Collazos; Gina Maestre-Góngora; Julio A. Hurtado-Alegría; Yurley Medina-Cárdenas; Jose Swaminathan
MAESTRE GONGORA GINA PAOLA,Analysis of the energy service in non-interconnected zones of Colombia using business intelligence,Cogent Engineering,2021,jan,10.1080/23311916.2021.1907970,https://doi.org/10.1080%2F23311916.2021.1907970,Informa UK Limited,8,1,1907970,Ramón Fernando Colmenares-Quintero and Gina Paola Maestre-Gongora and Lina Judith Pacheco-Moreno and Natalia Rojas and Kim E. Stansfield and Juan Carlos Colmenares-Quintero
MAESTRE GONGORA GINA PAOLA,Mapping concept and challenges for smart technologies: A systematic study approach,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,,,,2020,E32,28-40,"Maestre-Gongora, G. and Colmenares-Quintero, R.F. and Stansfield, K."
MAESTRE GONGORA GINA PAOLA,"Smart university: Characterization of the current situation of intelligent technologies, based on two case studies,Caracterización de la situación actual de las tecnologías inteligentes para una universidad inteligente en Colombia/latinoamérica",RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,,,,2020,E27,484-501,"Rico-Bautista, D. and Maestre-Góngora, G.P. and Guerrero, C.D."
