docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
COBALEDA ESTEPA LUZ VIVIANA,REFERENCE SOFTWARE ARCHITECTURE FOR IMPROVING MODIFIABILITY OF PERSONALISED WEB APPLICATIONS - A CONTROLLED EXPERIMENT,Colombia,INTERNATIONAL JOURNAL OF WEB ENGINEERING AND TECHNOLOGY,2016,,351 - 370,Inderscience Enterprises Ltd.,http://dx.doi.org/10.1504/IJWET.2016.081768,1741-9212,,,,,Q4
DUITAMA MUÑOZ JOHN FREDDY,A FRAMEWORK FOR THE GENERATION OF ADAPTIVE COURSES BASED ON SEMANTIC METADATA,,Multimedia Tools and Applications,2005,mar,377--390,Springer Science and Business Media LLC,10.1007/s11042-005-6541-8,,https://doi.org/10.1007%2Fs11042-005-6541-8,25.0,3,Freddy Duitama and Bruno Defude and Amel Bouzeghoub and Claire Lecocq,Q3
DUITAMA MUÑOZ JOHN FREDDY,A MACHINE LEARNING-BASED MODEL FOR 1-YEAR MORTALITY PREDICTION IN PATIENTS ADMITTED TO AN INTENSIVE CARE UNIT WITH A DIAGNOSIS OF SEPSIS,,Medicina Intensiva,2020,apr,160--170,Elsevier BV,10.1016/j.medin.2018.07.016,,https://doi.org/10.1016%2Fj.medin.2018.07.016,44.0,3,J.E. García-Gallo and N.J. Fonseca-Ruiz and L.A. Celi and J.F. Duitama-Muñoz,Q3
DUITAMA MUÑOZ JOHN FREDDY,UNA PROPUESTA PARA LA CLASIFICACIÓN EMOCIONAL DE UN ÁLBUM A PARTIR DE LA LETRA DE SUS CANCIONES,,Revista Tecnura,2016,feb,57,Universidad Distrital Francisco Jose de Caldas,10.14483/udistrital.jour.tecnura.2016.1.a05,,https://doi.org/10.14483%2Fudistrital.jour.tecnura.2016.1.a05,20.0,47,Francisco Javier Moreno Arboleda and John Freddy Duitama Muñoz and Luis Fernando Montoya Gómez,
DUQUE RAMOS ASTRID,AN AUTOMATED PROCESS FOR THE REPOSITORY-BASED ANALYSIS OF ONTOLOGY STRUCTURAL METRICS,,IEEE Access,2020,,148722 - 148743,Ieee Inst Electrical Electronics Engineers Inc,10.1109/access.2020.3015789,2169-3536,http://dx.doi.org/10.1109/access.2020.3015789,,,José Antonio Bernabé-Díaz; Manuel Franco; Juana-Maria Vivo; Manuel Quesada-Martínez; Astrid Duque-Ramos; Jesualdo Tomás Fernández-Breis,Q1
DUQUE RAMOS ASTRID,ANALYSIS OF READABILITY AND STRUCTURAL ACCURACY IN SNOMED CT,,BMC Medical Informatics and Decision Making,2020,,1 - 22,BioMed Central Ltd.,10.1186/s12911-020-01291-y,1472-6947,http://dx.doi.org/10.1186/s12911-020-01291-y,,,Francisco Abad-Navarro; Manuel Quesada-Martínez; Astrid Duque Ramos; Jesualdo Tomás Fernández-Breis,Q2
DUQUE RAMOS ASTRID,CAN EXISTING BIOMEDICAL ONTOLOGIES BE MORE USEFUL FOR EHR AND CDS?,,LECTURE NOTES IN COMPUTER SCIENCE,2017,,3 - 20,springer verlag,10.1007/978-3-319-55014-5_1,1611-3349,,,,,Q2
DUQUE RAMOS ASTRID,EVALUATING THE GOOD ONTOLOGY DESIGN GUIDELINE (GOODOD) WITH THE ONTOLOGY QUALITY REQUIREMENTS AND EVALUATION METHOD AND METRICS (OQUARE),,PLoS ONE,2014,,-,Public Library of Science,10.1371/journal.pone.0104463,1932-6203,,9.0,8,"Duque-Ramos, A. and Boeker, M. and Jansen, L. and Schulz, S. and Iniesta, M. and Fernández-Breis, J.T.",Q1
DUQUE RAMOS ASTRID,EVALUATION OF ONTOLOGY STRUCTURAL METRICS BASED ON PUBLIC REPOSITORY DATA,,Briefings in Bioinformatics,2020,,473 - 485,Oxford University Press,10.1093/bib/bbz009,1477-4054,http://dx.doi.org/10.1093/bib/bbz009,,,Manuel Franco; Juana María Vivo; Manuel Quesada-Martínez; Astrid Duque-Ramos; Jesualdo Tomás Fernández-Breis,Q1
DUQUE RAMOS ASTRID,EVALUATION OF THE OQUARE FRAMEWORK FOR ONTOLOGY QUALITY,,Expert Systems with Applications,2013,,2696-2703,Pergamon-Elsevier Science Ltd,10.1016/j.eswa.2012.11.004,0957-4174,,40.0,7,"Duque-Ramos, A. and Fernández-Breis, J.T. and Iniesta, M. and Dumontier, M. and Egaña Aranguren, M. and Schulz, S. and Aussenac-Gilles, N. and Stevens, R.",Q1
